name,description,price,brand,quantityInStock,category
Adidas Running Shoes,Lightweight running shoes for men,89.99,Adidas,100,Sports
Nike Dri-FIT T-Shirt,Moisture-wicking T-shirt for workouts,29.99,Nike,150,Sports
Puma Soccer Ball,Durable soccer ball for training,19.99,Puma,50,Sports
Decathlon Yoga Mat,Non-slip yoga mat for home practice,24.99,Decathlon,80,Sports
Adidas Basketball Shoes,High-top basketball shoes for performance,99.99,Adidas,120,Sports
Nike Pro Compression Shorts,Compression shorts for intense workouts,34.99,Nike,80,Sports
Puma Golf Clubs Set,Complete set of golf clubs for beginners,249.99,Puma,30,Sports
Decathlon Fitness Tracker,Smart fitness tracker with heart rate monitor,49.99,Decathlon,100,Sports
Adidas Tennis Racket,Carbon-fiber tennis racket for precision,79.99,Adidas,60,Sports
Nike Training Gloves,Weightlifting gloves for gym training,19.99,Nike,40,Sports
Puma Backpack,Spacious backpack for sports and travel,39.99,Puma,90,Sports
Decathlon Resistance Bands Set,Set of resistance bands for strength training,14.99,Decathlon,120,Sports
Adidas Soccer Jersey,Official soccer jersey for performance,59.99,Adidas,70,Sports
Nike Running Shorts,Quick-dry running shorts for men,24.99,Nike,100,Sports
Puma Yoga Block,Yoga block for proper alignment in poses,9.99,Puma,150,Sports
Decathlon Badminton Shuttlecocks,High-quality badminton shuttlecocks,8.99,Decathlon,200,Sports
Adidas Soccer Goalkeeper Gloves,Professional goalkeeper gloves for soccer,49.99,Adidas,40,Sports
Nike Volleyball,Official volleyball for indoor and outdoor play,29.99,Nike,30,Sports
Puma Running Hat,Lightweight running hat with moisture-wicking,14.99,Puma,80,Sports
Decathlon Cycling Helmet,Aerodynamic cycling helmet for safety,39.99,Decathlon,50,Sports
Adidas Golf Polo Shirt,Stylish golf polo shirt for men,44.99,Adidas,90,Sports
Nike Basketball,Indoor and outdoor basketball for all levels,39.99,Nike,40,Sports
Puma Sports Bra,High-impact sports bra for support,29.99,Puma,60,Sports
Decathlon Trail Running Shoes,Trail running shoes for rugged terrain,79.99,Decathlon,30,Sports
Adidas Football,Official football for training and matches,24.99,Adidas,50,Sports
Nike Cycling Shorts,Comfortable cycling shorts for long rides,49.99,Nike,70,Sports
Puma Swim Goggles,Anti-fog swim goggles for clear vision,19.99,Puma,40,Sports
Decathlon Ski Gloves,Insulated ski gloves for cold weather,34.99,Decathlon,50,Sports
Adidas Tennis Balls,High-performance tennis balls for matches,19.99,Adidas,120,Sports
Nike Track Jacket,Stylish track jacket for casual and sporty look,59.99,Nike,80,Sports
Puma Hiking Backpack,Durable hiking backpack for outdoor adventures,69.99,Puma,30,Sports
Decathlon Running Socks,Moisture-wicking running socks for comfort,9.99,Decathlon,100,Sports
Adidas Gym Bag,Spacious gym bag with multiple compartments,49.99,Adidas,60,Sports
Nike Golf Clubs Set,Complete set of golf clubs for intermediate players,299.99,Nike,25,Sports
Puma Resistance Tube Set,Set of resistance tubes for full-body workouts,29.99,Puma,70,Sports
Decathlon Climbing Harness,Adjustable climbing harness for safety,59.99,Decathlon,40,Sports
Adidas Ski Jacket,Waterproof ski jacket for winter sports,129.99,Adidas,30,Sports
Nike Soccer Cleats,High-performance soccer cleats for agility,89.99,Nike,50,Sports
Puma Yoga Mat Bag,Compact bag for carrying and storing yoga mats,19.99,Puma,60,Sports
Decathlon Table Tennis Paddle,Professional table tennis paddle for players,24.99,Decathlon,50,Sports
Adidas Running Jacket,Lightweight running jacket for all-weather conditions,79.99,Adidas,40,Sports
Nike Jump Rope,Adjustable jump rope for cardiovascular fitness,14.99,Nike,90,Sports
Puma Ski Goggles,Anti-fog ski goggles for clear vision on the slopes,49.99,Puma,30,Sports
Decathlon Kayak Paddle,Adjustable kayak paddle for water sports,39.99,Decathlon,25,Sports
Adidas Swim Shorts,Quick-dry swim shorts for men,29.99,Adidas,80,Sports
Nike Skateboard,High-quality skateboard for tricks and cruising,49.99,Nike
