name,description,price,brand,quantityInStock
ThinkPad X1 Carbon,Premium ultrabook with powerful performance,1499.99,Lenovo,50
MSI GS66 Stealth,Gaming laptop with high-end graphics,1999.99,MSI,30
Acer Aspire TC-895,Compact desktop for everyday use,699.99,Acer,65
Dell XPS 13,Ultra-thin laptop with stunning display,1299.99,Dell,40
HP Pavilion 24 All-in-One,Space-saving desktop for home and office,899.99,HP,80
Lenovo Tab P11,Android tablet with a vibrant display,349.99,Lenovo,55
Dell Latitude 7420,Business laptop with security features,1299.99,Dell,25
HP Envy 32 All-in-One,Immersive multimedia desktop,1299.99,HP,70
MSI GE75 Raider,Gaming laptop with RGB keyboard,1799.99,MSI,20
Acer Iconia One 10,Budget-friendly Android tablet,149.99,Acer,45
Lenovo Legion 5,High-performance gaming laptop,1299.99,Lenovo,35
HP Spectre x360,Premium 2-in-1 laptop with OLED display,1599.99,HP,60
Dell Inspiron 15,Entry-level laptop for daily tasks,599.99,Dell,75
MSI Modern 14,Ultra-thin and stylish laptop,899.99,MSI,40
Acer Predator Helios 300,Gaming laptop with RTX graphics,1299.99,Acer,30
Lenovo Yoga C940,Convertible laptop with 4K touchscreen,1399.99,Lenovo,45
HP Omen 30L,Gaming desktop with powerful specs,1499.99,HP,25
Dell Precision 5550,Mobile workstation for professional use,1899.99,Dell,20
MSI Prestige 14,Creator laptop with dedicated GPU,1199.99,MSI,50
Acer Chromebook 14,Budget-friendly Chrome OS laptop,299.99,Acer,80
ThinkPad T14s,Business ultrabook with long battery life,1299.99,Lenovo,60
MSI GS75 Stealth,17-inch gaming laptop with 300Hz display,2199.99,MSI,15
HP Elite Dragonfly,Lightweight business convertible,1699.99,HP,40
Dell G5 15 SE,Gaming laptop with AMD Ryzen CPU,1099.99,Dell,35
Acer Swift 3,Thin and light laptop for on-the-go,799.99,Acer,55
Lenovo Flex 5,2-in-1 laptop with touchscreen,899.99,Lenovo,30
HP Chromebook 14,Chrome OS laptop for simple tasks,249.99,HP,65
MSI Prestige 15,Professional laptop with true color display,1399.99,MSI,25
Dell Alienware Aurora,Gaming desktop with customizable RGB lighting,1799.99,Dell,20
Acer Nitro 5,Entry-level gaming laptop with GTX graphics,899.99,Acer,50
ThinkPad E14,Business laptop with reliable performance,899.99,Lenovo,40
HP ProBook 450 G7,Business laptop with HP Sure View,1099.99,HP,35
MSI Creator 15,High-end laptop for content creation,1799.99,MSI,30
Dell XPS 15,Powerful laptop with InfinityEdge display,1699.99,Dell,25
Acer Predator Triton 500,Portable gaming powerhouse,1799.99,Acer,20
Lenovo IdeaPad 5,Versatile laptop for everyday use,699.99,Lenovo,60
HP Pavilion Gaming Desktop,Gaming PC with AMD Ryzen CPU,999.99,HP,30
MSI GF63 Thin,Budget-friendly gaming laptop,799.99,MSI,45
Dell Inspiron 14 2-in-1,Convertible laptop with pen support,799.99,Dell,55
Acer Spin 5,2-in-1 laptop with 360-degree hinge,899.99,Acer,25
Lenovo Legion 7,Gaming laptop with RTX 3080,2499.99,Lenovo,15
HP Envy x360,Convertible laptop with AMD Ryzen CPU,1199.99,HP,35
MSI GS63VR Stealth Pro,Gaming laptop with VR-ready graphics,1699.99,MSI,20
Dell Vostro 14,Business laptop with numeric keypad,799.99,Dell,50
Acer Aspire 5,Budget-friendly laptop for everyday tasks,499.99,Acer,70
Lenovo Yoga 9i,Premium 2-in-1 laptop with leather cover,1799.99,Lenovo,20
HP ZBook Studio G7,Mobile workstation with DreamColor display,2299.99,HP,15
MSI Alpha 15,Gaming laptop with AMD Radeon RX graphics,1299.99,MSI,40
Dell G7 17,Gaming laptop with 17-inch display,1499.99,Dell,30
Acer Predator X34,Curved gaming monitor with G-Sync,999.99,Acer,25
